섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
"가전제품, 도구 및 가정 용품",53204030,603277,Yindu Kitchen Equipment Co Ltd Class A,sse,2026-08-24,12.56,12.92,12.02,12.69,+9.06%,+9.68%,0.13,1.04,"4,454,400",56,N/A
"가전제품, 도구 및 가정 용품",53204030,688169,Beijing Roborock Technology Co Ltd Class A,sse,2026-08-18,120.80,135,125,135,+20.54%,+11.75%,22.50,20.0,"18,666,361","2,519",N/A
건설 및 엔지니어링,52201020,600491,Long Yuan Construction Group Co Ltd Class A,sse,2026-08-21,1.81,1.85,1.74,1.81,+39.23%,+17.53%,0.03,1.69,"66,665,000",120,N/A
건설 및 엔지니어링,52201020,601886,Jangho Group Co Ltd Class A,sse,2026-08-24,13.23,14,12.90,13.32,+50.00%,+4.63%,0.09,0.68,"22,846,021",304,N/A
건설 자재 및 비품,53203020,603408,Runner (Xiamen) Corp Class A,sse,2026-07-30,10.81,11.24,10.67,11.24,+9.57%,+7.66%,0.47,4.36,"5,012,800",56,N/A
경영 지원 서비스,52203040,600984,Shaanxi Construction Machinery Co Ltd Class A,sse,2026-05-29,4.67,4.94,4.94,4.94,+1.44%,+10.02%,0.45,10.02,"13,343,010",65,N/A
고속도로 및 철도,52407030,600368,Guangxi Wuzhou Communications Co Ltd Class A,sse,2026-08-10,4.07,4.15,4.05,4.12,+10.58%,+3.52%,0.06,1.48,"25,747,358",106,N/A
"배달, 우편, 항공 화물 및 육상 물류",52405010,603128,CTS International Logistics Corp Ltd Class A,sse,2026-06-01,5.51,5.58,5.41,5.52,+4.15%,+2.60%,0.12,2.22,"12,249,200",67,N/A
상품 화학,51101010,600409,Tangshan Sanyou Chemical Industries Co Ltd Class A,sse,2026-08-10,6.93,7.11,6.88,6.95,+9.24%,+3.12%,0.03,0.43,"30,036,500",208,N/A
상품 화학,51101010,600610,Guizhou Zhongyida Co Ltd Class A,sse,2026-08-24,8.66,9.53,8.58,9.08,+9.27%,+28.07%,0.42,4.85,"101,642,682",922,N/A
상품 화학,51101010,600722,Hebei Jinniu Chemical Industry Co Ltd Class A,sse,2026-08-24,14.38,15.20,13.85,14.42,+36.42%,+10.75%,0.04,0.28,"97,211,184","1,401",N/A
상품 화학,51101010,603378,Asia Cuanon Technology Shanghai Co Ltd Class A,sse,2026-08-24,6.21,6.66,6.07,6.58,+27.03%,+19.64%,0.37,5.96,"8,590,660",56,N/A
상품 화학,51101010,688087,Intco Recycling Resources Co Ltd Class A,sse,2026-08-24,40.98,43.07,40.31,42.20,+15.63%,+4.61%,1.22,2.98,"2,017,459",85,N/A
석탄,50101010,600508,Shanghai Datun Energy Resources Co Ltd Class A,sse,2026-06-01,10.40,10.87,10.56,10.87,+16.35%,+24.37%,0.99,10.02,"35,534,584",386,N/A
식품 가공,54102020,600127,Jinjian Cereals Industry Co Ltd Class A,sse,2026-08-20,8.60,9.31,8.46,9.31,+56.21%,+30.94%,0.85,10.05,"210,179,256","1,956",N/A
"오일, 가스 정제 및 마케팅",50102030,600028,China Petroleum and Chemical Corporation Class A,sse,2026-08-24,5.33,5.40,5.31,5.37,+14.22%,+6.13%,0.04,0.75,"203,750,271","1,094",N/A
은행,55101010,601665,Qilu Bank Co Ltd Class A,sse,2026-08-24,6.56,6.61,6.53,6.56,+9.70%,+2.50%,0,0.0,"27,876,278",182,N/A
은행,55101010,601998,China Citic Bank Corp Ltd Class A,sse,2026-08-24,8.56,8.66,8.55,8.57,+19.29%,+9.73%,0.01,0.12,"50,346,540",431,N/A
전기 부품 및 장비,52102030,600525,ChangYuan Technology Group Ltd Class A,sse,2026-08-21,5.77,5.94,5.68,5.78,+9.68%,+14.00%,0.01,0.17,"25,120,371",145,N/A
제약,56201040,600613,Shanghai Shenqi Pharmaceutical Investment Management Co Ltd Class A,sse,2026-08-24,9.90,10.23,9.06,9.91,+94.84%,+27.71%,0.01,0.1,"122,295,795","1,211",N/A
제약,56201040,688373,Shanghai MicuRx Pharmaceutical Co Ltd Class A,sse,2026-08-20,5.66,5.92,5.20,5.89,+24.26%,+9.28%,0.65,12.4,"26,292,286",154,N/A
조선,52102050,603268,Guangdong Songfa Ceramics Co Ltd Class A,sse,2026-08-18,184.81,191,178,187.22,+33.26%,+1.30%,6.29,3.48,"7,065,697","1,322",N/A
지상 화물 및 물류,52405030,603569,Beijing Changjiu Logistics Corp Class A,sse,2026-08-10,5.94,5.97,5.84,5.97,+4.03%,+0.67%,0.11,1.88,"2,662,400",15,N/A
특수 화학제,51101030,603217,Yuanli Chemical Group Co Ltd Class A,sse,2026-08-18,26.77,27.20,25.28,27.07,-4.27%,+1.12%,1.26,4.88,"2,994,700",81,N/A
특수 화학제,51101030,688356,Jenkem Technology Co Ltd Class A,sse,2026-08-24,124,133,118.05,128.88,+68.78%,+63.78%,4.88,3.94,"9,651,609","1,243",N/A
