섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건설 및 엔지니어링,52201020,HAS,Hacisco JSC,hose,2026-07-30,"9,840","9,900","9,900","9,900",+11151.28%,+26.76%,460,4.87,100,0,N/A
건설 및 엔지니어링,52201020,HTN,Hung Thinh Incons JSC,hose,2026-08-20,"8,400","8,800","8,400","8,800",+15.79%,+13.11%,400,4.76,"579,222","5,097",N/A
건설 자재,51202010,DHA,Hoa An JSC,hose,2026-07-03,"52,500","53,200","51,200","52,900",+7.74%,+8.07%,"2,000",3.93,"85,156","4,504",N/A
민자 발전 사업,59101020,CHP,Central Hydropower JSC,hose,2026-06-01,"28,000","28,000","27,900","28,000",+0.00%,+1.82%,150,0.54,"11,902",333,N/A
민자 발전 사업,59101020,TMP,Thac Mo Hydropower JSC,hose,2026-08-20,"51,900","52,000","51,800","52,000",+11.83%,+5.05%,100,0.19,"1,400",72,N/A
"부동산 임대, 개발 및 운영",60101010,VPI,Van Phu Real Estate Development JSC,hose,2026-08-03,"65,000","65,000","63,400","65,000",+4.33%,+7.08%,"1,500",2.36,"1,900,976","123,563",N/A
산업용 기계 및 장비,52102010,SBG,Siba High-Tech Mechanical Group JSC,hose,2026-08-20,"13,200","14,100","13,200","14,100",+37.56%,+12.80%,900,6.82,"844,394","11,905",N/A
식품 가공,54102020,AAN,A An Food JSC,hose,2026-05-29,"16,191.26","16,350","15,200","16,350",+1.20%,+6.51%,"1,000",6.51,"523,291","8,555",N/A
식품 가공,54102020,SBT,Thanh Thanh Cong Bien Hoa JSC,hose,2026-08-19,"23,800","24,000","23,700","23,850",+13.84%,+3.70%,50,0.21,"1,571,467","37,479",N/A
식품 가공,54102020,VNM,Vietnam Dairy Products JSC,hose,2026-08-20,"64,000","64,100","63,400","64,000",+12.41%,+3.90%,0,0.0,"3,433,121","219,719",N/A
어업 및 농업,54102010,BAF,BAF Viet Nam Agriculture JSC,hose,2026-08-20,"32,200","32,500","32,000","32,400",+13.14%,+3.18%,200,0.62,"5,634,728","182,565",N/A
오일 및 가스 수송 서비스,50103030,PVT,Petrovietnam Transportation Corp,hose,2026-06-22,"20,500","21,000","20,350","20,550",+2.29%,+2.75%,200,0.98,"5,353,339","110,011",N/A
"자동차 차량, 부품 및 서비스 소매",53403010,CTF,City Auto Corp,hose,2026-08-20,"21,000","21,100","21,000","21,100",+15.93%,+1.69%,100,0.48,"384,021","8,102",N/A
