섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,002178,Shanghai Yanhua Smartech Group Co Ltd Class A,szse,2026-08-11,0.25,0.28,0.25,0.28,+19.75%,+40.39%,0.03,11.76,"9,306,000",2,N/A
가정용 가구,53204040,002489,Yotrio Group Co Ltd Class A,szse,2026-08-12,350,395,350,386,+37.37%,+22.54%,36,10.29,"2,511,400",969,N/A
가정용 전자 제품,57106030,001308,Shenzhen KTC Technology Co Ltd Class A,szse,2026-08-11,40.28,40.72,40,40.68,+17.98%,+4.31%,0.40,0.99,"4,043,940",164,N/A
건설 및 엔지니어링,52201020,002630,China Western Power Industrial Co Ltd Class A,szse,2026-08-07,116.80,128.80,115.70,127.70,+59.72%,+22.44%,11.40,9.8,"104,520",13,N/A
건설 및 엔지니어링,52201020,002060,Guangdong Construction Engineering Group Co Ltd Class A,szse,2026-08-12,"1,342","1,377","1,345","1,368",+10.77%,+9.44%,26,1.94,"116,200",158,N/A
건설 및 엔지니어링,52201020,002307,Xinjiang Beixin Road & Bridge Group Co Ltd Class A,szse,2026-08-12,"1,034","1,043","1,015","1,041",+15.03%,+7.10%,7,0.68,"33,900",35,N/A
건설 자재 및 비품,53203020,000055,China Fangda Group Co Ltd Class A,szse,2026-06-11,0.16,0.17,0.14,0.17,+11.49%,+20.44%,0.03,19.57,"318,000",0,N/A
건설 자재 및 비품,53203020,002108,Cangzhou Mingzhu Plastic Co Ltd Class A,szse,2026-08-12,"5,390","5,450","5,300","5,430",+28.07%,+8.17%,40,0.74,"29,300",159,N/A
건설 자재 및 비품,53203020,002798,DO&SHUIHUA Group Co Ltd Class A,szse,2026-08-10,"3,055","3,065","3,055","3,055",+2.14%,+0.66%,0,0.0,"1,800",5,N/A
경영 지원 서비스,52203040,002769,Guangdong Prolto Supply Chain Management Co Ltd Class A,szse,2026-07-10,899,900,897,900,+10.97%,+0.90%,3,0.33,"4,000",3,N/A
광고 및 마케팅,53302010,002654,Shenzhen Mason Technologies Co Ltd Class A,szse,2026-08-12,413,416,414,416,+4.79%,+0.97%,3,0.73,"5,000",2,N/A
농화학제,51101020,002215,Shenzhen Noposion Crop Science Co Ltd Class A,szse,2026-08-12,623,625,617,624,+0.48%,+2.97%,1,0.16,"6,500",4,N/A
농화학제,51101020,002734,Limin Group Co Ltd Class A,szse,2026-07-30,"1,168","1,196","1,175","1,190",+19.50%,+4.75%,24,2.06,"195,200",232,N/A
농화학제,51101020,002749,Sichuan Guoguang Agrochemical Co Ltd Class A,szse,2026-07-29,652,668,631,657,+2.98%,+7.35%,26,4.12,"632,900",415,N/A
다각적 산업용 제품 도매,52202010,000900,Xiandai Investment Co Ltd Class A,szse,2026-07-13,8.88,9.19,8.74,9.12,+8.49%,+3.81%,0.29,3.28,"276,000",2,N/A
다각적 투자 서비스,55102030,002673,Western Securities Co Ltd Class A,szse,2026-08-03,118,130,118,122,+14.02%,+3.39%,5,4.27,"661,600",80,N/A
다각적 화학 산업,51101090,002004,Huapont Life Sciences Co Ltd Class A,szse,2026-08-03,4.52,4.68,4.43,4.54,-0.05%,+3.89%,0.04,0.89,"43,985,667",199,N/A
무선 통신 서비스,57401020,002148,Beijing Bewinner Communications Co Ltd Class A,szse,2026-08-04,"1,229","1,240","1,213","1,238",+1.31%,+3.51%,18,1.48,"48,900",60,N/A
