섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",002995,금호건설우,kospi,2026-06-30,"33,800","43,900","10,100",29.88,"28,072","1,232",128
건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",002995,금호건설우,kospi,2026-06-30,"33,800","43,900","10,100",29.88,"28,072","1,232",128
그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",021240,코웨이,kospi,2026-05-14,"95,464","96,100","1,100",1.16,"203,239","19,531","68,007"
기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",010960,삼호개발,kospi,2026-07-01,"4,235","4,370",135,3.19,"28,628,330","125,105","1,054"
기타 금융업,"지주사업, 경영자문 및 컨설팅",180640,한진칼,kospi,2026-06-15,"128,100","131,200","6,000",4.79,"175,352","23,006","87,592"
기타 화학제품 제조업,"화장품, 의약품",161890,한국콜마,kospi,2026-07-01,"106,800","113,700","6,900",6.46,"1,223,617","139,125","26,838"
생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",081660,미스토홀딩스,kospi,2026-06-11,"43,900","46,400","3,300",7.66,"339,336","15,745","24,634"
석유 정제품 제조업,"윤활유,고무배합유,전기절연유 제조,판매,수출입",003650,미창석유,kospi,2026-07-01,"136,000","140,100","4,100",3.01,"4,616",646,"2,437"
1차 철강 제조업,마봉,026910,광진실업,kosdaq,2026-07-01,"5,000","6,500","1,500",30.0,"1,211,183","7,872",482
건물 건설업,"건축공사, 토목공사",091590,남화토건,kosdaq,2026-07-01,"9,630","10,360",730,7.58,"5,177,566","53,639","1,216"
건물 건설업,"건축공사, 토목공사",091590,남화토건,kosdaq,2026-07-01,"9,630","10,360",730,7.58,"5,177,566","53,639","1,216"
"건축기술, 엔지니어링 및 관련 기술 서비스업",지열냉난방시스템,270520,앱튼,kosdaq,2026-07-01,"2,510","2,610",100,3.98,"1,597,498","4,169",513
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-06-04,"2,105","2,105",0,0.0,"321,833",677,153
음·식료품 및 담배 도매업,건강보조식품 등,065170,비엘팜텍,kosdaq,2026-06-30,"2,975","3,535",815,29.96,"7,978,968","28,205",986
자동차 신품 부품 제조업,배터리(이차전지) 부품 (엔드플레이트),419050,삼기에너지솔루션즈,kosdaq,2026-04-21,"1,935","1,944",448,29.95,"26,293,095","51,113","1,111"
